adoption_scenario,stress_scenario,tokenized_share,capital_liberated,mixed_collateral_efficiency,book_wacc_change,market_wacc_change,roe_change
Conservative,Normal Market,0.1,0.5789160000000031,0.9520000000000001,-0.0009177235640118325,-4.796084139696566e-05,0.00031406073264328427
Conservative,Moderate Stress,0.1,0.771887999999997,0.9229999999999999,-0.0007245186031672318,-3.786382215549555e-05,0.00041874764352445304
Conservative,Severe Stress,0.1,1.157831999999999,0.8839999999999999,0.0009660248042229758,5.0485096207336655e-05,0.0006281214652870126
Conservative,2008-Style Liquidity Shock,0.1,1.0613460000000003,0.8260000000000001,0.0024150620105574533,0.00012621274051834164,0.0005757780098460952
Moderate,Normal Market,0.25,1.4472900000000024,0.9549999999999998,-0.0009177235640118325,-4.796084139696566e-05,0.0007851518316086548
Moderate,Moderate Stress,0.25,1.9297199999999997,0.9275000000000001,-0.0007245186031672318,-3.786382215549555e-05,0.0010468691088114657
Moderate,Severe Stress,0.25,2.8945799999999977,0.8900000000000001,0.0009660248042229758,5.0485096207336655e-05,0.0015703036632170875
Moderate,2008-Style Liquidity Shock,0.25,2.653365000000001,0.8350000000000001,0.0024150620105574533,0.00012621274051834164,0.001439445024615793
Aggressive,Normal Market,0.4,2.3156640000000017,0.958,-0.0009177235640118325,-4.796084139696566e-05,0.0012562429305738032
Aggressive,Moderate Stress,0.4,3.0875519999999987,0.932,-0.0007245186031672318,-3.786382215549555e-05,0.0016749905740982562
Aggressive,Severe Stress,0.4,4.631328,0.896,0.0009660248042229758,5.0485096207336655e-05,0.0025124858611476064
Aggressive,2008-Style Liquidity Shock,0.4,4.245384000000001,0.844,0.0024150620105574533,0.00012621274051834164,0.002303112039385269
